"invariant_id","family","title","statement","applies_to","inherited_from","first_paper"
"FIN-SET-003","SETTLEMENT","Settlement Completion Is Not Finality","Completed settlement effect SHALL NOT automatically imply final settlement state.","Settlement completion","FIN-ARCH-04","F3"
"FIN-SET-004","SETTLEMENT","Settlement Finality Is Not Continuity","Settlement finality SHALL NOT automatically establish preserved financial execution continuity.","Finalized settlement","FIN-ARCH-04","F3"
"FIN-CMP-001","COMPENSATION","Compensation Is New Execution","A compensating action SHALL be modeled as a new financially consequential execution event.","Compensation","FIN-ARCH-04","F1"
"FIN-CMP-002","COMPENSATION","No Self-Authorization From Failure","The failure, partial effect, or invalidity of an earlier execution SHALL NOT itself authorize a compensating execution.","Compensation","UAA + FIN-ARCH-04","F1"
"FIN-CMP-003","COMPENSATION","Compensation Requires Independent Admission","A compensation execution SHALL satisfy its own authority, scope, admissibility, and execution-boundary requirements.","Compensation","UAA + FIN-ARCH-04","F1"
"FIN-CMP-004","COMPENSATION","Compensation Does Not Erase Original Effect","Successful compensation SHALL NOT classify the original execution as historically nonexistent.","Compensated state","FIN-ARCH-04","F1"
"FIN-REV-001","REVERSAL","Reversal Is New Execution","A reversal SHALL be represented as a distinct financially consequential execution event.","Reversal","FIN-ARCH-04","F1"
"FIN-REV-002","REVERSAL","Eligibility Is Not Authority","Structural reversibility or reversal eligibility SHALL NOT imply authority to reverse.","Reversal","UAA + FIN-ARCH-04","F1"
"FIN-REV-003","REVERSAL","Reversal Requires Independent Admission","A reversal execution SHALL independently satisfy current authority and admissibility requirements.","Reversal","UAA + FIN-ARCH-04","F1"
"FIN-REV-004","REVERSAL","Reversal Does Not Erase History","A completed reversal SHALL NOT establish that the original execution never occurred.","Reversed state","FIN-ARCH-04","F1"
"FIN-REC-001","RECONCILIATION","Post-Effect Ambiguity Requires Reconciliation","If post-effect financial state is partial, conflicting, or indeterminate, reconciliation SHALL be required before finality or continuity is asserted.","Post-effect state","FIN-ARCH-04","F1"
"FIN-REC-002","RECONCILIATION","Reconciliation Is Not Restoration","A reconciled economic state SHALL NOT automatically be classified as restored integrity or preserved continuity.","Reconciled state","POB + FIN-ARCH-04","F3"
"FIN-REC-003","RECONCILIATION","Reconstruction Requires Evidence","Historical financial reconstruction SHALL require sufficient evidence and provenance.","Reconstruction","POB","F3"
"FIN-REC-004","RECONCILIATION","Reconstructed State Must Be Marked","A reconstructed state SHALL remain distinguishable from uninterrupted preserved state.","Reconstructed state","POB + FIN-ARCH-04","F3"
"FIN-FIN-001","FINALITY","Finality Requires Explicit Classification","Financial finality SHALL be explicitly classified rather than inferred from completion.","Settlement and ledger state","FIN-ARCH-04","F3"
"FIN-FIN-002","FINALITY","Final Is Not Necessarily Irreversible","A state classified FINAL SHALL NOT automatically be classified IRREVERSIBLE.","Finality","FIN-ARCH-04","F3"
"FIN-FIN-003","FINALITY","Technical Finality Is Not Governance Validity","Technical finality SHALL NOT independently establish that execution was valid under governing authority.","Settlement and distributed ledgers","UAA + FIN-ARCH-04","F4"
"FIN-FIN-004","FINALITY","Finality Does Not Erase Prior Invalidity","Later finality SHALL NOT retroactively cure an execution that lacked required authority or admissibility.","Post-effect validation","UAA + DEI","F3"
"FIN-CNT-001","CONTINUITY","Continuity Must Be Classified Independently","Financial execution continuity SHALL be classified independently from execution success and settlement finality.","All consequential execution","EIP + FIN-ARCH-04","F3"
"FIN-CNT-002","CONTINUITY","Recovered Function Is Not Preserved Continuity","Restored financial functionality SHALL NOT automatically imply preserved execution continuity.","Recovery","EIP + POB","F3"
"FIN-CNT-003","CONTINUITY","Reconstructed Continuity Is Distinct","Reconstructed continuity SHALL remain distinguishable from uninterrupted preserved continuity.","Reconstruction","EIP + POB","F3"
"FIN-CNT-004","CONTINUITY","Continuity Cannot Be Inferred From Balance Equality","Equivalent resulting balances SHALL NOT be sufficient evidence of preserved continuity.","Settlement recovery","FIN-ARCH-04","F3"
"FIN-EVD-001","EVIDENCE","Every Consequential Outcome Requires Evidence","Each consequential financial execution outcome SHALL have reconstructable evidence sufficient to distinguish execution, refusal, partial effect, completion, or indeterminate state.","All execution outcomes","POB + DEI","F1"
"FIN-EVD-002","EVIDENCE","Evidence Provenance Must Be Preserved","Financial execution evidence SHALL retain provenance sufficient to establish source and lineage.","Evidence","POB","DEI"
"FIN-EVD-003","EVIDENCE","Refusal Must Be Distinguishable","Governed refusal SHALL remain distinguishable from absence, crash, network failure, or unattempted execution.","Blocked financial execution","POB + DEI","DEI"
"FIN-EVD-004","EVIDENCE","Evidence Mutation Must Be Detectable","Unauthorized mutation of execution, settlement, refusal, or reconstruction evidence SHALL be detectable.","Evidence stores","POB","F3"
"FIN-DST-001","DISTRIBUTED","No Implicit Authority From Participation","Participation in a multiparty financial process SHALL NOT itself grant authority over the complete execution.","Clearing, settlement, distributed execution","UAA","F2"
"FIN-DST-002","DISTRIBUTED","Consensus Is Not Authority","Consensus or replicated agreement SHALL NOT independently establish execution authority.","Distributed ledgers and multiparty systems","FIN-ARCH-03","F4"
"FIN-DST-003","DISTRIBUTED","Remote State Change Must Be Reconciled","A material counterparty or remote-system state change SHALL trigger re-evaluation where that state affects execution admissibility.","Multiparty settlement","AOMS + DEI","F2"
"FIN-DST-004","DISTRIBUTED","Distributed Completion Requires State Agreement","A multiparty execution SHALL NOT be classified complete when required participating state remains unresolved or contradictory.","Clearing and settlement","FIN-ARCH-04","F2"
"FIN-JUR-001","JURISDICTION","Jurisdiction Is Execution State","Applicable jurisdiction SHALL be treated as execution-relevant state rather than static descriptive metadata.","Cross-border financial execution","DEI + FIN-ARCH-03","F7"
"FIN-JUR-002","JURISDICTION","Jurisdiction Change Requires Re-evaluation","A material jurisdiction change during a consequential execution chain SHALL trigger relevant admissibility re-evaluation.","Cross-jurisdiction execution","DEI","F7"
"FIN-JUR-003","JURISDICTION","Conflict Cannot Be Silently Resolved","Conflicting jurisdictional constraints SHALL NOT be silently collapsed into a permissive execution decision.","Cross-jurisdiction execution","UAA + FIN-ARCH-03","F7"
"FIN-JUR-004","JURISDICTION","Authority Must Remain Valid In Current Jurisdiction","Execution authority SHALL remain valid under the jurisdiction applicable at the current consequential boundary.","Cross-border execution","UAA + DEI","F7"
"FIN-AGT-001","AUTONOMOUS-AGENCY","Agent Capability Is Not Economic Authority","An autonomous agent's capability to construct or execute a financial action SHALL NOT establish authority to originate that action.","Autonomous agents","UAA","F8"
"FIN-AGT-002","AUTONOMOUS-AGENCY","Agent Must Bind To Principal","Delegated machine financial authority SHALL remain traceably bound to an authorized principal or explicitly recognized authority source.","Agentic financial execution","UAA + EIP","F8"
"FIN-AGT-003","AUTONOMOUS-AGENCY","Agent Cannot Self-Expand Authority","An autonomous economic agent SHALL NOT expand its own execution authority through planning, recursion, delegation, wallet creation, or capability acquisition.","Autonomous agents","UAA + EIP + AOMS","F8"
"FIN-AGT-004","AUTONOMOUS-AGENCY","Machine-Originated Execution Requires Current Admission","A machine-originated financial execution SHALL satisfy the same current authority and admissibility requirements as any other consequential execution.","Autonomous economic execution","UAA + DEI","F8"
