"proof_id","family","class","statement","result","evidence_type","artifact","runtime_required"
"F1-NEQ-REV-002","REVERSAL","NON-EQUIVALENCE","Reversal eligibility does not imply reversal authority","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_REVERSAL_PROOFS.md","NO"
"F1-NEQ-REV-003","REVERSAL","NON-EQUIVALENCE","Technical reversibility does not imply reversal authority","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_REVERSAL_PROOFS.md","NO"
"F1-SAFE-REV-004","REVERSAL","SAFETY","Reversal cannot cross consequential boundary without independent authority/admission","PARTIAL","RUNTIME-EVIDENCE-REQUIRED","04-settlement-integrity/proofs/F1_REVERSAL_PROOFS.md","YES"
"F1-NEQ-REV-005","REVERSAL","NON-EQUIVALENCE","Successful reversal does not imply historical identity","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_REVERSAL_PROOFS.md","NO"
"F1-TRACE-REV-006","REVERSAL","TRACEABILITY","Origin and reversal remain independently reconstructable","PARTIAL","TRACEABILITY-ARGUMENT","04-settlement-integrity/proofs/F1_REVERSAL_PROOFS.md","YES"
"F1-NEQ-REC-001","RECONCILIATION","NON-EQUIVALENCE","Reconciled does not imply restored","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_RECONCILIATION_PROOFS.md","NO"
"F1-NEQ-REC-002","RECONCILIATION","NON-EQUIVALENCE","Reconciled does not imply continuity preserved","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_RECONCILIATION_PROOFS.md","NO"
"F1-SAFE-REC-003","RECONCILIATION","SAFETY","Insufficient evidence cannot establish a clean reconciled state","PROVED","FORMAL-DERIVATION","04-settlement-integrity/proofs/F1_RECONCILIATION_PROOFS.md","NO"
"F1-THM-REC-004","RECONCILIATION","THEOREM","Unique state satisfying the reconciliation acceptance predicate is the determinate reconciled result","PROVED","DEFINITIONAL-DERIVATION","04-settlement-integrity/proofs/F1_RECONCILIATION_PROOFS.md","NO"
"F1-NEQ-REC-005","RECONCILIATION","NON-EQUIVALENCE","Reconciliation failure and indeterminacy are distinct","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_RECONCILIATION_PROOFS.md","NO"
"F1-TRACE-REC-006","RECONCILIATION","TRACEABILITY","Reconciliation preserves complete execution lineage","PARTIAL","TRACEABILITY-ARGUMENT","04-settlement-integrity/proofs/F1_RECONCILIATION_PROOFS.md","YES"
"F1-NEQ-CNT-001","CONTINUITY","NON-EQUIVALENCE","Economic endpoint equivalence does not imply continuity preservation","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","NO"
"F1-NEQ-CNT-002","CONTINUITY","NON-EQUIVALENCE","Reconciled state does not imply continuity preservation","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","NO"
"F1-THM-CNT-003","CONTINUITY","THEOREM","PRESERVED and RECONSTRUCTED are mutually exclusive for the same complete interval","PROVED","FORMAL-DERIVATION","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","NO"
"F1-SAFE-CNT-004","CONTINUITY","SAFETY","A qualifying break excludes PRESERVED for the complete interval","PROVED","FORMAL-DERIVATION","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","NO"
"F1-NEQ-CNT-005","CONTINUITY","NON-EQUIVALENCE","Functional recovery does not imply continuity preservation","COUNTEREXAMPLE-DISCHARGED","CONSTRUCTIVE-COUNTEREXAMPLE","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","NO"
"F1-SAFE-CNT-006","CONTINUITY","SAFETY","Unknown material continuity state cannot establish PRESERVED","PROVED","FORMAL-DERIVATION","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","NO"
"F1-TRACE-CNT-007","CONTINUITY","TRACEABILITY","RECONSTRUCTED preserves evidence of the prior continuity break","PARTIAL","TRACEABILITY-ARGUMENT","04-settlement-integrity/proofs/F1_CONTINUITY_PROOFS.md","YES"
