"proof_obligation_id","invariant_id","family","first_major_paper","initial_status"
"PO-FIN-SET-005","FIN-SET-005","FIN-SET","F1","OPEN"
"PO-FIN-CMP-001","FIN-CMP-001","FIN-CMP","F1","OPEN"
"PO-FIN-CMP-002","FIN-CMP-002","FIN-CMP","F1","OPEN"
"PO-FIN-CMP-003","FIN-CMP-003","FIN-CMP","F1","OPEN"
"PO-FIN-CMP-004","FIN-CMP-004","FIN-CMP","F1","OPEN"
"PO-FIN-CMP-005","FIN-CMP-005","FIN-CMP","F1","OPEN"
"PO-FIN-REV-001","FIN-REV-001","FIN-REV","F1","OPEN"
"PO-FIN-REV-002","FIN-REV-002","FIN-REV","F1","OPEN"
"PO-FIN-REV-003","FIN-REV-003","FIN-REV","F1","OPEN"
"PO-FIN-REV-004","FIN-REV-004","FIN-REV","F1/F3","OPEN"
"PO-FIN-REV-005","FIN-REV-005","FIN-REV","F3","OPEN"
"PO-FIN-REC-001","FIN-REC-001","FIN-REC","F3","OPEN"
"PO-FIN-REC-002","FIN-REC-002","FIN-REC","F3","OPEN"
"PO-FIN-REC-003","FIN-REC-003","FIN-REC","F3","OPEN"
"PO-FIN-REC-004","FIN-REC-004","FIN-REC","F3","OPEN"
"PO-FIN-REC-005","FIN-REC-005","FIN-REC","F3","OPEN"
"PO-FIN-EVD-001","FIN-EVD-001","FIN-EVD","FOUNDATION","OPEN"
"PO-FIN-EVD-002","FIN-EVD-002","FIN-EVD","FOUNDATION","OPEN"
"PO-FIN-EVD-003","FIN-EVD-003","FIN-EVD","FOUNDATION","OPEN"
"PO-FIN-EVD-004","FIN-EVD-004","FIN-EVD","F1","OPEN"
"PO-FIN-EVD-005","FIN-EVD-005","FIN-EVD","F3","OPEN"
"PO-FIN-FIN-001","FIN-FIN-001","FIN-FIN","F3","OPEN"
"PO-FIN-FIN-002","FIN-FIN-002","FIN-FIN","F3/F4","OPEN"
"PO-FIN-FIN-003","FIN-FIN-003","FIN-FIN","F3","OPEN"
"PO-FIN-FIN-004","FIN-FIN-004","FIN-FIN","F3","OPEN"
"PO-FIN-FIN-005","FIN-FIN-005","FIN-FIN","F3","OPEN"
"PO-FIN-CON-001","FIN-CON-001","FIN-CON","F3","OPEN"
"PO-FIN-CON-002","FIN-CON-002","FIN-CON","F3","OPEN"
"PO-FIN-CON-003","FIN-CON-003","FIN-CON","F3","OPEN"
"PO-FIN-CON-004","FIN-CON-004","FIN-CON","F3","OPEN"
"PO-FIN-CON-005","FIN-CON-005","FIN-CON","F3","OPEN"
"PO-FIN-DST-001","FIN-DST-001","FIN-DST","F4","OPEN"
"PO-FIN-DST-002","FIN-DST-002","FIN-DST","F4","OPEN"
"PO-FIN-DST-003","FIN-DST-003","FIN-DST","F2","OPEN"
"PO-FIN-DST-004","FIN-DST-004","FIN-DST","F2/F4","OPEN"
"PO-FIN-DST-005","FIN-DST-005","FIN-DST","F4","OPEN"
"PO-FIN-JUR-001","FIN-JUR-001","FIN-JUR","F7","OPEN"
"PO-FIN-JUR-002","FIN-JUR-002","FIN-JUR","F7","OPEN"
"PO-FIN-JUR-003","FIN-JUR-003","FIN-JUR","F7","OPEN"
"PO-FIN-JUR-004","FIN-JUR-004","FIN-JUR","F7","OPEN"
"PO-FIN-JUR-005","FIN-JUR-005","FIN-JUR","F7","OPEN"
"PO-FIN-AGT-001","FIN-AGT-001","FIN-AGT","F8","OPEN"
"PO-FIN-AGT-002","FIN-AGT-002","FIN-AGT","F8","OPEN"
"PO-FIN-AGT-003","FIN-AGT-003","FIN-AGT","F8","OPEN"
"PO-FIN-AGT-004","FIN-AGT-004","FIN-AGT","F8","OPEN"
"PO-FIN-AGT-005","FIN-AGT-005","FIN-AGT","F8","OPEN"
