"component_id","name","family","responsibility","primary_inputs","primary_outputs","inherited_dependency","first_family"
"FI-REV-002","Reversal Admission Controller","REVERSAL","Require independent authority and current admissibility before any reversal execution.","ReversalInstruction;AuthorityReference;EconomicState","Reversal ADMIT;BLOCK;INDETERMINATE","UAA;AOMS","F1"
"FI-REC-001","Financial Reconciliation Engine","RECONCILIATION","Reconcile observed effects, obligations, resource states, evidence, and participating state into a determinate reconciled financial state where possible.","EconomicState;SettlementObject;EvidenceObject","RECONCILED;RECONCILIATION-FAILED","UES;POB","F1"
"FI-REC-002","Financial Reconstruction Engine","RECONCILIATION","Reconstruct historical financial execution state from preserved evidence and provenance without representing reconstruction as uninterrupted continuity.","EvidenceObject;execution lineage;state history","Reconstructed financial history","POB;EIP","F3"
"FI-FIN-001","Finality Classifier","FINALITY","Classify financial state as PROVISIONAL, FINAL, REVERSIBLE, or IRREVERSIBLE according to explicit finality semantics.","SettlementState;EconomicState;governing rules","Finality classification","FIN-ARCH-04","F3"
"FI-CNT-001","Economic Continuity Classifier","CONTINUITY","Classify financial execution continuity independently from completion, balance equivalence, and settlement finality.","Execution history;EvidenceObject;EconomicState","Continuity classification","EIP;POB","F3"
"FI-EVD-001","Financial Evidence Recorder","EVIDENCE","Record append-only execution, refusal, effect, reconciliation, finality, and reconstruction evidence.","FinancialExecutionEvent;decisions;effects;state changes","EvidenceObject","POB;UES","FOUNDATION"
"FI-DST-001","Multi-Party Authority Reconciler","DISTRIBUTED","Resolve and compare authority and execution constraints across multiple participating institutions or actors without inferring global authority from participation.","Actor authority states;counterparty state;execution event","Distributed authority reconciliation","UAA;AOMS","F2"
"FI-DST-002","Distributed Settlement Coordinator","DISTRIBUTED","Coordinate multi-party settlement state while preserving participant-specific authority, dependency, and unresolved-state distinctions.","SettlementObject;participant states;dependency state","Coordinated settlement progression","UES;AOMS","F2"
"FI-LED-001","Ledger Admission Adapter","LEDGER","Map ledger-valid transactions into the financial governance admission model without equating ledger validity with authority.","LedgerTransaction;LedgerState;AuthorityReference","Governance admission request","UAA;DEI","F4"
"FI-LED-002","Consensus Authority Separator","LEDGER","Maintain explicit distinction between consensus state, technical validity, and governance authority.","ConsensusState;LedgerTransaction;AuthorityReference","Separated consensus and authority classification","UAA;FIN-ARCH-05","F4"
"FI-AST-001","Custody Authority Controller","DIGITAL-ASSET","Separate custody, key possession, wallet control, ownership, and current execution authority.","DigitalAsset;CustodyState;WalletReference;KeyReference;AuthorityReference","Custody-authority determination","UAA","F5"
"FI-PRG-001","Programmable Execution Admission Gateway","PROGRAMMABLE","Evaluate smart-contract or programmable financial execution against current authority and admissibility independently from code validity.","SmartContractReference;ContractState;EconomicState;AuthorityReference","Programmable execution ADMIT;BLOCK;INDETERMINATE","UAA;AOMS","F6"
"FI-PRG-002","Oracle State Integrity Resolver","PROGRAMMABLE","Resolve oracle currentness, provenance, integrity, and dependency status without treating oracle data as authority.","OracleState;OracleReference;ContractState","Validated oracle-state reference","POB;AOMS","F6"
"FI-JUR-001","Jurisdiction State Resolver","JURISDICTION","Determine the jurisdiction state applicable at the current consequential execution boundary.","FinancialExecutionEvent;EconomicState;location or governing references","JurisdictionState","DEI;AOMS","F7"
"FI-JUR-002","Jurisdiction Conflict Controller","JURISDICTION","Detect unresolved conflicting jurisdictional constraints and prevent silent permissive collapse.","JurisdictionState set;AuthorityReference;PolicyState","Resolved constraint set or BLOCK/INDETERMINATE","UAA;AOMS","F7"
"FI-AGT-001","Economic Principal Resolver","AUTONOMOUS-AGENCY","Resolve the authoritative principal or recognized authority source behind machine-originated financial execution.","AutonomousAgent;FinancialExecutionEvent;DelegationReference","Principal binding","UAA;EIP","F8"
"FI-AGT-002","Delegated Economic Authority Controller","AUTONOMOUS-AGENCY","Enforce delegation attenuation and prevent autonomous expansion of financial authority.","Principal;AutonomousAgent;DelegationReference;AuthorityReference","Delegated authority envelope","UAA;EIP","F8"
"FI-AGT-003","Machine-Originated Execution Controller","AUTONOMOUS-AGENCY","Require machine-originated financial actions to traverse the same authority, admissibility, boundary, evidence, and settlement requirements as other consequential executions.","AutonomousAgent;FinancialExecutionEvent;authority binding","Execution request into canonical financial pipeline","UAA;DEI","F8"
