"PO_ID","Type","Disposition","Evidence"
"F3-PO-024","TRANSITION","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-025","TRANSITION","FORMALLY-PROVED","06-f3-discovery/proofs/F3_POSITIVE_PROOF_DISCHARGE.md"
"F3-PO-026","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-027","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-028","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-029","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-030","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-031","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-032","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-033","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-034","COUNTEREXAMPLE","COUNTEREXAMPLE-DISCHARGED","06-f3-discovery/proofs/F3_COUNTEREXAMPLE_DISCHARGE.md"
"F3-PO-035","RUNTIME-CONF","REFERENCE-RUNTIME-CONFORMANT","03-registries/F3_RUNTIME_CONFORMANCE_MATRIX.csv"
"F3-PO-036","RUNTIME-CONF","REFERENCE-RUNTIME-CONFORMANT","03-registries/F3_RUNTIME_CONFORMANCE_MATRIX.csv"
"F3-PO-037","RUNTIME-CONF","REFERENCE-RUNTIME-CONFORMANT","03-registries/F3_RUNTIME_CONFORMANCE_MATRIX.csv"
"F3-PO-038","RUNTIME-CONF","REFERENCE-RUNTIME-CONFORMANT","03-registries/F3_RUNTIME_CONFORMANCE_MATRIX.csv"
"F3-PO-039","RUNTIME-CONF","REFERENCE-RUNTIME-CONFORMANT","03-registries/F3_RUNTIME_CONFORMANCE_MATRIX.csv"
"F3-PO-040","RUNTIME-CONF","REFERENCE-RUNTIME-CONFORMANT","03-registries/F3_RUNTIME_CONFORMANCE_MATRIX.csv"
